Date,Open,High,Low,Close,Adj Close,Volume
1997-12-18,68.320236,68.320236,67.108833,95.875000,67.571396,4658300
1997-12-19,66.889442,67.840271,65.363693,94.781197,67.066284,8556000
1997-12-22,67.530693,67.862358,66.911568,95.390602,67.497566,5136800
1997-12-23,67.530693,67.663353,66.181831,93.687500,66.292442,4436500
1997-12-24,66.823105,66.823105,65.982841,93.406197,66.093353,2019200
1997-12-26,66.601982,66.601982,66.093353,93.781197,66.358734,941800
1997-12-29,66.933647,67.729668,66.823105,95.625000,67.663353,2080000
1997-12-30,67.884499,68.813202,67.818123,97.125000,68.724739,3616000
1997-12-31,68.547852,69.078568,68.415199,97.062500,68.680534,4359500
1998-01-02,68.857391,69.100624,68.304596,97.562500,69.034355,2360900
1998-01-05,69.233299,69.653465,68.481483,97.781197,69.189095,4191800
1998-01-06,68.813202,68.835289,68.061356,96.218697,68.083488,3154900
1998-01-07,67.995026,68.437279,67.375893,96.468697,68.260399,4424200
1998-01-08,68.149826,68.149826,67.486473,95.625000,67.663353,3831000
1998-01-09,67.398018,67.574936,65.031960,92.312500,65.319489,10258800
1998-01-12,64.479179,66.646233,64.324394,94.000000,66.513550,12097900
1998-01-13,66.955757,67.486473,66.668282,95.312500,67.442268,5224900
1998-01-14,67.707634,67.906548,67.022079,95.750000,67.751808,3770400
1998-01-15,67.574936,67.751808,67.088463,94.953102,67.187927,2875400
1998-01-16,68.105606,68.415199,67.685425,96.312500,68.149826,4374800
1998-01-20,68.415199,69.354942,68.282509,97.875000,69.255440,5091700
1998-01-21,68.791054,69.122795,68.039246,96.937500,68.592102,4699400
1998-01-22,68.039246,68.547852,67.840271,96.078102,67.983986,4543400
1998-01-23,68.282509,68.481483,67.221130,95.937500,67.884499,6350300
1998-01-26,68.194046,68.448303,67.508553,95.875000,67.840271,4362900
1998-01-27,67.796059,68.990112,67.685425,96.843697,68.525711,7044200
1998-01-28,68.923721,69.421265,68.768990,97.718697,69.144852,4268600
1998-01-29,69.233299,70.449516,69.034355,98.250000,69.520813,8007700
1998-01-30,69.896667,70.029373,69.343925,98.312500,69.565079,3649100
1998-02-02,70.692726,71.112869,70.582214,99.937500,70.714859,5756300
1998-02-03,70.759109,71.334023,70.560059,100.687500,71.245514,2759600
1998-02-04,70.958031,71.577194,70.714859,100.562500,71.157127,3374000
1998-02-05,71.687767,71.886742,70.781158,100.500000,71.112869,5076200
1998-02-06,71.466675,71.908897,71.245514,101.625000,71.908897,5701200
1998-02-09,71.975212,71.997398,71.267632,101.281197,71.665649,2322200
1998-02-10,71.776222,72.505898,71.599358,102.250000,72.351166,3660400
1998-02-11,72.240570,72.417480,71.964195,102.156197,72.284775,4073200
1998-02-12,71.975212,72.837639,71.378265,102.593697,72.594368,5024700
1998-02-13,72.306946,72.539116,72.085785,102.000000,72.174271,2101300
1998-02-17,72.749184,72.948166,72.284775,102.500000,72.528076,3055500
1998-02-18,72.395393,73.224556,72.373215,103.437500,73.191406,3007400
1998-02-19,73.058746,73.169296,72.704971,102.890602,72.804443,3387800
1998-02-20,72.992363,73.390396,72.439590,103.656197,73.346184,3707000
1998-02-23,73.766335,73.766335,73.125038,104.062500,73.633659,3227800
1998-02-24,73.523079,73.655762,72.837639,103.250000,73.058746,3386800
1998-02-25,73.412529,74.208595,73.324074,104.531197,73.965317,3481800
1998-02-26,73.899017,74.451782,73.722122,105.125000,74.385460,3187600
1998-02-27,74.274887,74.672890,73.965317,105.125000,74.385460,3442900
1998-03-02,74.473946,74.827721,74.031693,104.906197,74.230644,4252300
1998-03-03,73.965317,74.739258,73.965317,105.500000,74.650810,3349200
1998-03-04,74.363335,74.584480,73.899017,104.812500,74.164391,4404100
1998-03-05,73.235649,73.899017,72.992363,103.843697,73.478836,7268000
1998-03-06,73.987495,74.960373,73.899017,105.937500,74.960373,6896300
